Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Information,,,,,,,,Chromatogram Peak Areas,,,,,,,,Chlorophylls,,,,Carotenoids,,,,,,,,,,,
"Sample
ID",Treatment,Tree Species,Month,Extraction Date,"Leaf Weight
(g)","Extraction
Volume
(ml)","HPLC 
Injection Volume
(µl)","Violaxanthin
HPLC Peak Area
(mAU*sec)","Neoxanthin
HPLC Peak Area
(mAU*sec)","Antheraxanthin
HPLC Peak Area
(mAU*sec)","Lutein
HPLC Peak Area
(mAU*sec)","Zeaxanthin
HPLC Peak Area
(mAU*sec)","Chlorophyll B
HPLC Peak Area
(mAU*sec)","Chlorophyll A
HPLC Peak Area
(mAU*sec)","Beta Carotene
HPLC Peak Area
(mAU*sec)","Chlorophyll B
Concentration
(µmol/g)","Chlorophyll A
Concentration
(µmol/g)","Chlorophyll Pool
(µmol/g)","Chlorophyll 
a/b 
Ratio","Violaxanthin
Concentration
(µmol/g)","Neoxanthin
Concentration
(µmol/g)","Antheraxanthin
Concentration
(µmol/g)","Lutein
Concentration
(µmol/g)","Zeaxanthin
Concentration
(µmol/g)","Beta Carotene
Concentration
(µmol/g)","Total Carotenoids/ChlA+ChlB
(mol/mol)","V+A+Z
(µmol/g)","V+A+Z /ChlA+ChlB
(mol/mol)",Z/V+A+Z,Z+A/V+A+Z,Notes
170711 P10B1EXD,D,Pine,July,180117,0.0248,0.69,40,37.8,89.2,19.9,646.7,46.6,510.6,895.8,211.8,0.2403088458,0.6555955645,0.8959044103,2.7281374617,0.0089193901,0.032755373,0.0055291709,0.1111841583,0.0187680091,0.0850455998,0.2926670503,0.0332165701,0.0370760203,0.5650194779,0.7314776901,
170711 P10B1R2D,D,Pine,July,180117,0.0285,0.66,40,95.4,143.2,22.4,752.4,0,567.4,1140.9,263.3,0.2044879737,0.6393843789,0.8438723526,3.1267578598,0.0172377758,0.0402670863,0.0047658947,0.09905544,0,0.0809592068,0.2871114369,0.0220036705,0.0260746432,0,0.2165954417,
170711 P10B1R2D,D,Pine,July,180117,0.0269,0.68,40,45.6,92.4,10.9,610.6,0,485.5,924,223,0.1938051928,0.5735669888,0.7673721817,2.9595026863,0.0091263145,0.0287790792,0.002568743,0.0890397803,0,0.0759482872,0.2677477879,0.0116950575,0.0152403981,0,0.2196434711,
170711 P2B1EX2D,D,Pine,July,180117,0.0257,0.70,40,44.9,73,15.5,501.5,6.2,379.7,768.6,200.9,0.1701447519,0.5355676576,0.7057124095,3.1477177607,0.0100873877,0.0255228735,0.0041004134,0.0820918424,0.0023774588,0.0768059461,0.2847986223,0.0165652599,0.0234731028,0.1435207637,0.3910516472,
170711 P2B1EXD,D,Pine,July,180117,0.0271,0.71,40,72.8,121,17.8,672.4,0,526,1061.38,274.5,0.2265463561,0.7108504428,0.9373967989,3.1377703666,0.0157201661,0.0406616928,0.0045259456,0.1057913469,0,0.1008673547,0.2854356942,0.0202461116,0.02159823,0,0.2235464101,
170711 P9B1EX1D,D,Pine,July,180116,0.0243,0.75,40,83.2,88.3,29.5,548.2,11.4752,474.7,994.5,276.7,0.228009838,0.7428055556,0.9708153935,3.2577785336,0.0200360494,0.0330920602,0.008365162,0.0961887963,0.0047166968,0.1133914892,0.2840810475,0.0331179082,0.0341134972,0.1424213377,0.3950086082,
170711 P9B1EX1D,D,Pine,July,180117,0.0277,0.69,40,75.6,118.7,31.1,668.8,16.1,662.5,1277,306.4,0.2828779332,0.8478911191,1.1307690523,2.9973745548,0.0161841314,0.0395450978,0.0078395578,0.1043183134,0.0058827773,0.1116191971,0.2523849358,0.0299064664,0.0264478997,0.196705862,0.4588417375,
170711 P9B2EX2D,D,Pine,July,180117,0.0250,0.74,40,83.4,91,26.9,588,0,539,1093.5,294.7,0.24829035,0.78329592,1.03158627,3.1547578067,0.0192615636,0.032707038,0.007315455,0.098946288,0,0.1158212258,0.2656603508,0.0265770186,0.0257632535,0,0.2752549152,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710 P10B1R1,L,Pine,July,180116,0.0241,0.76,40,59.3,76.3,29.5,537.6,13.4,503.9,996.5,261.8,0.2472978112,0.7604824896,1.0077803008,3.0751687042,0.0145909988,0.029216568,0.0085470436,0.0963798573,0.0056276108,0.1096181585,0.2619422474,0.0287656531,0.0285435755,0.1956364685,0.492763168,
170710 P2B1R1,L,Pine,July,180116,0.0243,0.75,40,47.2,78.6,21.1,483.5,47.2,399.8,896,259.4,0.1920335648,0.6692345679,0.8612681327,3.4849874737,0.0113666049,0.0294568056,0.0059832176,0.0848363426,0.0194008025,0.1063019599,0.2987986241,0.036750625,0.0426703643,0.5279040144,0.6907098876,
170710 P2B1R2,L,Pine,July,180116,0.0253,0.77,40,23.2,52.5,26.2,432.4,98,230.2,478.1,179,0.1090322283,0.3521310435,0.4611632717,3.2296051277,0.0055092435,0.0194016033,0.0073260326,0.0748146,0.0397208913,0.0723335109,0.4751156368,0.0525561674,0.1139643389,0.7557798309,0.8951741774,
170710 P2B1R3,L,Pine,July,180116,0.0245,0.76,40,39.9,64.9,27.3,478.5,30.2,287.2,565.3,174.2,0.1386472653,0.424367249,0.5630145143,3.0607689812,0.0096572657,0.0244455784,0.0077805,0.0843839633,0.0124760514,0.0717483584,0.3738655253,0.0299138171,0.0531315204,0.4170665137,0.6771637111,
170710 P9B2R1,L,Pine,July,180116,0.0271,0.76,40,76.8,77.8,43.9,537.3,38.6,400.1,947,281.7,0.1746192897,0.6427019926,0.8173212823,3.6805898927,0.0168050303,0.0264930531,0.0113111347,0.0856626708,0.0144163166,0.1048932299,0.31760024,0.0425324815,0.0520388768,0.3389484008,0.6048894951,
170710 P9B2R2,L,Pine,July,180116,0.0216,0.75,40,75.9,83.2,26.9,550.5,18.963,435.9,879.5,223,0.2355449219,0.7390243056,0.9745692274,3.1375089714,0.0205628385,0.0350783333,0.0085813802,0.1086664063,0.0087687414,0.1028084201,0.2918890848,0.0379129602,0.0389022751,0.2312861188,0.4576303603,
170710 P9B2R3,L,Pine,July,180116,0.0253,0.74,40,65.1,63.7,37,466.7,20.7,359.4,788.6,229.2,0.1635944763,0.5581916522,0.7217861285,3.412044617,0.0148568235,0.0226234453,0.009942836,0.0776031711,0.0080631409,0.0890106806,0.3077090133,0.0328628004,0.0455298309,0.2453576936,0.5479136489,
170711 P10B1R2,L,Pine,July,180117,0.0229,0.73,40,61.8,101.6,12,519.8,9.8,463.4,860.5,169.9,0.2298914247,0.6638250218,0.8937164465,2.8875588673,0.0153712657,0.0393268533,0.0035145197,0.0942006983,0.0041604103,0.0719112879,0.2556571896,0.0230461956,0.0257869213,0.1805248176,0.3330237248,
170711 P10B1R3,L,Pine,July,180117,0.0276,0.73,40,63.1,81,24.8,614,13.5,424.7,896,269.4,0.1676295516,0.5499362319,0.7175657835,3.2806639792,0.012486827,0.0249449185,0.0057788043,0.0885294565,0.0045597962,0.090719962,0.3163748463,0.0228254275,0.0318095261,0.1997682711,0.4529422517,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170711 S3B1EX1D,D,Spruce,July,180117,0.0271,0.72,40,71.6,103.03,16.2,618.3,22.09,483.276,877,191.7,0.1998194679,0.5638689299,0.7636883978,2.8218918598,0.0148426007,0.0332380103,0.0039543542,0.093388397,0.0078159474,0.0676241203,0.2892062137,0.0266129024,0.0348478548,0.2936901535,0.4422780148,
170711 S3B1R1D,D,Spruce,July,180117,0.0264,0.76,40,49.7,64.8,23.4,525.7,10.3,305.8,653.2,165.9,0.137001875,0.4550626667,0.5920645417,3.3215798446,0.011163486,0.0226512818,0.0061890341,0.0860355841,0.0039488405,0.063412133,0.3266541836,0.0213013606,0.0359781056,0.1853797325,0.4759261537,
170711 S3B2EX1D,D,Spruce,July,180117,0.0259,0.72,40,56.6,85.3,22.2,586,11.1,440.2,827.8,186.4,0.1904417375,0.5568952587,0.7473369961,2.9242290379,0.0122767367,0.0287931961,0.00567,0.0926106255,0.0041094,0.0688010317,0.2840231262,0.0220561367,0.0295129731,0.1863154939,0.4433868062,
170711 S3B2R1D,D,Spruce,July,180117,0.0261,0.70,40,31.9,66.4,16.9,543.3,15.1,423.3,779.1,179.6,0.1766790948,0.5056687356,0.6823478305,2.8620745206,0.0066754722,0.0216238851,0.004164296,0.0828376379,0.0053933324,0.0639558352,0.2706104578,0.0162331006,0.023790067,0.3322428978,0.588774049,
170711 S3B3EX1D,D,Spruce,July,180117,0.0255,0.68,40,48.5,86.1,17.5,483.4,19.5,456.4,852.2,184.7,0.189406,0.5499530667,0.7393590667,2.9035672928,0.0100912333,0.02787918,0.0042875,0.07328344,0.0069251,0.0653961133,0.2540884059,0.0213038333,0.0288139205,0.3250635645,0.5263184247,
170711 S3B3R1D,D,Spruce,July,180117,0.0285,0.75,40,41,83.6,13.7,572.7,15.3,459.5,898.8,206.7,0.1806560526,0.5494979368,0.7301539895,3.0416801919,0.0080817474,0.02564496,0.0031798421,0.0822517768,0.0051475642,0.0693337074,0.2652037799,0.0164091537,0.022473552,0.3137007739,0.5074854241,
170711 S9B1R1D,D,Spruce,July,180117,0.0268,0.72,40,47.1,99,22.1,566.2,19.6,453.7,908.6,190.5,0.1949597994,0.6071346567,0.8020944562,3.1141530637,0.0101473259,0.0331925205,0.0056064319,0.0888786112,0.0072073515,0.0698406409,0.2678897482,0.0229611093,0.0286264406,0.3138938711,0.558064648,
170711 S9B2EX1D,D,Spruce,July,180117,0.0262,0.70,40,44.9,87,18.6,569,23,468.5,468.5,930.7,0.1920157085,0.2985882824,0.4906039909,1.5550200803,0.0092263073,0.0278211555,0.0045004723,0.085190376,0.0080667452,0.3254421673,0.9381236846,0.0217935249,0.0444218256,0.370144126,0.5766491475,
170711 S9B2R1D,D,Spruce,July,180117,0.0231,0.75,40,62.4,77.6,12.8,479.1,0,397.6,807,217.9,0.2008977273,0.6340714286,0.8349691558,3.156190153,0.0158076623,0.0305927922,0.0038181818,0.0884312825,0,0.0939340016,0.2785539068,0.0196258442,0.0235048732,0,0.1945486669,
170711 S9B3R1D,D,Spruce,July,180116,0.0254,0.74,40,57.9,82.2,16.4,555,22.5,442,845.5,187.9,0.2004008858,0.5961107874,0.7965116732,2.974591579,0.0131616502,0.0290788972,0.0043897441,0.0919224213,0.0087297785,0.0726843805,0.2761627723,0.0262811728,0.0329953392,0.3321685299,0.4991985221,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170709 S3B1R2,L,Spruce,July,180116,0.0255,0.78,40,64.5,94.2,14.8,582.5,12.6,539.6,966,194.2,0.2568654706,0.7150672941,0.9719327647,2.7838202327,0.0153938735,0.0349875424,0.0041592353,0.1012933235,0.0051327212,0.0788714741,0.2467641577,0.02468583,0.0253987013,0.2079217582,0.3764085093,
170711 S3B1R1,L,Spruce,July,180117,0.0247,0.69,40,33.3,75.9,23.6,519.7,58.4,372.3,687.4,161.3,0.1665458426,0.4781743644,0.644720207,2.8711275939,0.0074686035,0.0264917888,0.0062326215,0.084926765,0.0223561466,0.0615619082,0.3242303114,0.0360573716,0.0559271622,0.6200159799,0.7928688859,
170711 S3B2R1,L,Spruce,July,180117,0.0256,0.69,40,42.6,75.8,15.1,541.4,23,449.7,834,192.3,0.1858964941,0.536105625,0.7220021191,2.8838931443,0.0088290164,0.0244481648,0.0036850488,0.0817556297,0.0081361602,0.0678210551,0.2696322765,0.0206502254,0.0286013363,0.3939986127,0.5724493927,
170711 S3B3R1,L,Spruce,July,180116,0.0285,0.77,40,46,65.1,21.4,442,21.3,345.6,704.1,172.4,0.1453111579,0.4603578737,0.6056690316,3.1680834449,0.0096970018,0.0213567403,0.0053119868,0.0678888737,0.0076638708,0.0618442656,0.2868938808,0.0226728594,0.0374344043,0.3380195969,0.572307948,
170711 S9B1R1,L,Spruce,July,180117,0.0216,0.72,40,19.3,58.4,30.5,545,55.3,352.7,727.8,171.7,0.182963125,0.587092,0.770055125,3.2087995873,0.0050196083,0.0236374,0.009340625,0.1032775,0.0245485917,0.0759915583,0.3140233413,0.038908825,0.0505273243,0.6309260603,0.8709904929,
170711 S9B2R1,L,Spruce,July,180117,0.0262,0.71,40,64,86.3,37.6,553.5,50,411.5,939.4,273.6,0.1735426646,0.6160599542,0.7896026188,3.549904893,0.0135322748,0.0283972291,0.0093614313,0.0852717452,0.0180447042,0.0984440473,0.320479474,0.0409384103,0.0518468522,0.4407768661,0.6694479657,
170711 S9B3R1,L,Spruce,July,180117,0.0245,0.68,40,39.6,80.5,9.9,539.2,15.8,470,909.6,183.5,0.2239094388,0.6738465306,0.8977559694,3.0094601384,0.0094585408,0.0299225893,0.002784375,0.0938373061,0.0064413214,0.074584324,0.2417454899,0.0186842372,0.020812156,0.3447462877,0.4937689619,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170808 P2B1R4D,D,Pine,August,171026,0.0265,0.73,40,106.465,53.285,48.373,443.93,18.066,282.422,653.931,171.681,0.1210751107,0.4359375489,0.5570126596,3.6005546174,0.0228832456,0.0178233801,0.0122427043,0.0695219508,0.0066276825,0.0627936215,0.3445030943,0.0417536325,0.0749599345,0.1587330765,0.4519459922,
170808 P2B1R5D,D,Pine,August,171026,0.0231,0.76,40,132.238,69.689,32.326,498.164,0,384.765,824.779,209.941,0.1970046769,0.6566811848,0.8536858617,3.3333278932,0.0339462388,0.027840303,0.0097712682,0.093176077,0,0.0917096813,0.3003957072,0.043717507,0.0512102975,0,0.2235092725,
170808 P9B2R4D,D,Pine,August,171103,0.0253,0.70,40,103.5,109.5,14.8,546.5,0,437.5,847.5,165.1,0.1883800642,0.5674565217,0.755836586,3.0122960413,0.0223435227,0.0367874555,0.0037621542,0.0859603458,0,0.0606514101,0.2771827829,0.0261056769,0.0345387844,0,0.144112492,
170808 P9B2R5D,D,Pine,August,171103,0.0238,0.72,40,38.9,103.1,35.3,500.3,96.6,391.6,775.2,151.9,0.1843646218,0.5675245714,0.7518891933,3.0782726411,0.0091820345,0.0378723555,0.0098113235,0.0860431916,0.0389184353,0.0610140176,0.3229749279,0.0579117933,0.0770217125,0.6720295313,0.8414479343,
170809 P10B1R4D,D,Pine,August,171026,0.0249,0.73,40,133.544,71.282,28.196,486.832,0,380.77,738.983,178.261,0.1737263125,0.5242921156,0.6980184281,3.0179200147,0.0305479218,0.0253753185,0.0075946605,0.0811396442,0,0.069389884,0.306650112,0.0381425824,0.0546440908,0,0.1991123848,
170809 P10B1R5D,D,Pine,August,171026,0.0241,0.77,40,99.612,67.441,35.762,507.278,11.339,482.817,857.243,189.685,0.2400687329,0.6628160192,0.9028847521,2.7609427148,0.0248324243,0.0261640997,0.010497668,0.0921404183,0.0048247092,0.0804679582,0.2646265508,0.0401548015,0.0444738948,0.1201527348,0.381582691,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170808 P2B1R4,L,Pine,August,171026,0.0243,0.75,40,105.867,68.289,27.536,471.667,0,441.714,940.908,221.158,0.2121658681,0.702776963,0.914942831,3.3123940689,0.0254946688,0.0255925674,0.0078082407,0.0827600894,0,0.0906304119,0.2538803193,0.0333029095,0.0363988966,0,0.2344612186,
170808 P2B1R5,L,Pine,August,171026,0.0245,0.77,40,97.442,69.914,25.674,482.089,0,475.967,931.599,198.31,0.2327988595,0.7085475823,0.9413464418,3.0436041822,0.0238948664,0.0266806806,0.0074133675,0.0861355303,0,0.0827533465,0.2410141275,0.0313082339,0.0332589922,0,0.2367865116,
170808 P9B2R5,L,Pine,August,171026,0.0227,0.76,40,126.828,79.041,29.834,483.209,0,443.015,852.846,205.875,0.2308264279,0.6909931115,0.9218195394,2.9935615169,0.0331311611,0.032132778,0.0091769121,0.0919714892,0,0.0915182395,0.279805937,0.0423080732,0.0458962643,0,0.2169068789,
170809 P10B1R4,L,Pine,August,171026,0.0235,0.75,40,99.008,69.15,16.403,468.307,0,441.156,834.02,174.681,0.219111391,0.6441473617,0.8632587527,2.9398168616,0.0246545719,0.0267974641,0.0048096563,0.0849678286,0,0.0740210738,0.2493465533,0.0294642282,0.0341313981,0,0.163237137,
170809 P10B1R5,L,Pine,August,171026,0.0254,0.76,40,114.745,83.011,14.757,577.146,0,571.651,988.031,196.469,0.2661890631,0.7154278013,0.9816168644,2.687667904,0.02678844,0.030159465,0.0040567225,0.0981738979,0,0.0780531115,0.2416743697,0.0308451625,0.0314228123,0,0.1315189225,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170809 S3B1R2D,D,Spruce,August,171103,0.0274,0.71,40,82.2,114.2,17.9,559.6,10.7,449.5,840.4,171.6,0.1812662067,0.5269982774,0.708264484,2.9073167419,0.016619325,0.0359320505,0.0042614576,0.0824358197,0.003692447,0.0590393245,0.2851765531,0.0245732296,0.0346949905,0.1502629917,0.3236816936,
170809 S3B2R2D,D,Spruce,August,171103,0.0268,0.74,40,76.9,96.1,12.1,490.4,0,394.1,781.2,171,0.1693490345,0.5220048358,0.6913538703,3.0824199105,0.0165675024,0.0322202144,0.0030695849,0.076979991,0,0.0626915989,0.2770345258,0.0196370873,0.0284038148,0,0.1563156918,
170809 S9B1R2D,D,Spruce,August,171103,0.0266,0.72,40,101.5,129.4,19.4,633.1,14.9,533.3,1068.7,174.7,0.2246476128,0.7000386767,0.9246862895,3.1161634349,0.0214363421,0.042529791,0.0048244737,0.0974212376,0.0053710579,0.0627856038,0.253457317,0.0316318737,0.0342082218,0.169798917,0.3223182945,
170809 S9B2R2D,D,Spruce,August,171103,0.0251,0.73,40,90.3,97.9,17.1,552.6,15.3,370.3,158.1,180.7,0.1676031648,0.1112746853,0.2788778501,0.663917566,0.0204913545,0.034573229,0.0045692256,0.0913672363,0.0059260222,0.0697788168,0.8129218017,0.0309866023,0.1111117368,0.1912446597,0.3387027629,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170809 S9B1R2,L,Spruce,August,171103,0.0266,0.74,40,99.5,120.4,15.3,590.3,8.6,471.2,972.3,166.1,0.2040021429,0.6545845263,0.8585866692,3.208713973,0.021597672,0.0406709842,0.0039105592,0.0933583861,0.0031861868,0.0613530314,0.2609833437,0.028694418,0.0334205259,0.1110385594,0.247321484,
170809 S9B2R2,L,Spruce,August,171103,0.0259,0.77,40,109.7,105.5,14.7,540.8,11,438.3,924.8,188.9,0.2027877872,0.6653561081,0.8681438953,3.2810462475,0.0254466939,0.0380847872,0.0040151858,0.0914025081,0.0043551824,0.0745657223,0.2739984478,0.0338170622,0.0389532914,0.1287865401,0.2475190838,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170920 P10B1R1D,D,Pine,September,171103,0.0279,0.74,40,138.4,142,28.4,717.8,0,561.5,1136.1,224.5,0.2317696909,0.7292214624,0.9609911532,3.1463193468,0.0286416072,0.0457323978,0.0069205914,0.1082334344,0,0.079060612,0.2794912752,0.0355621986,0.0370057502,0,0.1946052741,
170920 P10B1R2D,D,Pine,September,180118,0.0260,0.74,40,66.1,94.1,29.3,635.3,19.8,584.1,1007.6,214.5,0.2587169856,0.6940038769,0.9527208625,2.6824828504,0.0146789033,0.0325204171,0.0076616683,0.1027939835,0.0075049235,0.0810591375,0.2584377468,0.029845495,0.0313265891,0.251459172,0.508170219,
170920 P9B1R2D,D,Pine,September,180119,0.0242,0.77,40,55.2,69.1,38.8,456.1,36.4,417.1,831.4,230.7,0.2065355966,0.640178,0.8467135966,3.0996012821,0.0137040273,0.026696942,0.0113423864,0.0825022705,0.0154240864,0.0974628852,0.2918727167,0.0404705,0.0477971538,0.381119244,0.6613823088,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170920 P10B1R2,L,Pine,September,180119,0.0250,0.77,40,44.2,67.2,18.1,447,41.3,476.9,928.6,193.2,0.2285900925,0.692141296,0.9207313885,3.0278709301,0.0106220114,0.0251320608,0.0051218475,0.078268806,0.0169403927,0.0790085604,0.2336117585,0.0326842516,0.0354981399,0.5183044393,0.6750113318,
170920 P2B1R1,L,Pine,September,180118,0.0221,0.75,40,20.2,39.4,16.5,331.6,46.7,268.3,527.2,153.2,0.1416997313,0.4329719457,0.574671677,3.0555593975,0.0053487726,0.0162357862,0.0051445843,0.063975543,0.0211061284,0.0690309842,0.3146871612,0.0315994853,0.054987024,0.6679263348,0.8307322865,
170920 P2B1R2,L,Pine,September,180118,0.0240,0.76,40,21.5,43.9,17,438.9,80.7,296.5,676.5,205.8,0.1461189063,0.5184245,0.6645434063,3.5479631849,0.0053122021,0.0168800988,0.0049459375,0.0790129725,0.0340328713,0.0865294675,0.3411568717,0.0442910108,0.0666487853,0.7683922902,0.8800613943,
170920 P9B1R1,L,Pine,September,180118,0.0255,0.73,40,61,100.2,28.3,762,55.8,686.2,1275.2,278.2,0.3057121912,0.8834385569,1.189150748,2.8897720875,0.0136253069,0.0348304041,0.0074433162,0.1240132588,0.0212735312,0.1057440927,0.258108495,0.0423421542,0.0356070534,0.5024196707,0.6782094082,
170920 P9B1R2,L,Pine,September,180118,0.0251,0.73,40,66.8,91.8,38.1,580.1,33,530.6,1005.6,255.2,0.2401572759,0.7077661195,0.9479233954,2.9470942193,0.01515861,0.0324190237,0.0101805553,0.0959141038,0.0127816165,0.0985476151,0.2795600633,0.0381207818,0.0402150448,0.3352926131,0.6023531193,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170920 S3B1R1D,D,Spruce,September,180118,0.0254,0.73,40,53.6,89.4,18.2,665.2,7.6,529.1,896.8,191.9,0.2366498696,0.6237349921,0.8603848617,2.6356870309,0.0120195362,0.0311985762,0.0048057136,0.1086855614,0.0029088776,0.0732285489,0.2706309981,0.0197341274,0.0229363954,0.1474034046,0.3909263886,
170920 S3B2R1D,D,Spruce,September,180118,0.0265,0.77,40,38.7,68.3,29.8,619.2,44.8,427.7,805.7,188.5,0.1934031156,0.566543917,0.7599470325,2.9293422462,0.0087738376,0.0240975931,0.0079553349,0.1022836619,0.0173358672,0.0727231222,0.3068232481,0.0340650397,0.0448255448,0.5089049452,0.7424386493,
170920 S9B1R1D,D,Spruce,September,180118,0.0235,0.71,40,55.4,90.6,18.7,653.7,29.3,470.2,830.1,167.5,0.2210815372,0.6069267319,0.8280082691,2.7452619495,0.0130597249,0.0332373811,0.005190742,0.1122792338,0.0117891044,0.067192625,0.2931719648,0.0300395713,0.0362793131,0.3924524839,0.5652492916,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170920 S3B1R1,L,Spruce,September,180118,0.0270,0.74,40,45.3,77.2,22.6,556.4,19.5,470,778.8,167.9,0.2004680556,0.5165463111,0.7170143667,2.5767013586,0.0096872372,0.0256917311,0.0056908056,0.0866933022,0.0071174639,0.0610991209,0.2733273837,0.0224955067,0.0313738576,0.3163949136,0.5693701251,
170920 S3B2R1,L,Spruce,September,180118,0.0274,0.73,40,45.9,81.7,28.3,735.5,50.4,484.7,832.3,191.7,0.2009669685,0.5366208686,0.7375878371,2.6701943735,0.0095415463,0.0264303227,0.0069271738,0.1114000648,0.0178823891,0.0678126506,0.3253770401,0.0343511091,0.0465722283,0.5205767589,0.7222346963,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171018 P10B1R1D,D,Pine,October,180531,0.0235,0.70,40,115.4,63.8,59.4,533.9,16.4,421.4,788.1,171.5,0.1953457979,0.5681027234,0.7634485213,2.9081901407,0.0268206787,0.023075917,0.0162560106,0.0904108532,0.0065057404,0.06782825,0.3024401038,0.0495824298,0.0649453479,0.1312106013,0.4590688912,
171018 P10B1R2D,D,Pine,October,180119,0.0255,0.77,40,42.2,60.6,28.1,521.5,29.1,426.6,794.7,210.7,0.2004706324,0.5807231294,0.7811937618,2.8967990104,0.0099425269,0.0222193465,0.0077956838,0.0895231441,0.0117021656,0.0844756205,0.2888636576,0.0294403763,0.0376863945,0.3974869573,0.6622826159,
171018 P2B1R1D,D,Pine,October,180119,0.0251,0.77,40,54,64.4,25.6,506.1,30,377.6,767.7,214.4,0.1802720319,0.5699331394,0.7502051713,3.1615172555,0.0129254163,0.0239889359,0.0072152988,0.0882640416,0.0122563446,0.0873289211,0.3092206869,0.0323970598,0.0431842661,0.3783165729,0.6010311914,
171018 P9B1R2D,D,Pine,October,180119,0.0263,0.73,40,51.8,63.8,29.8,437.3,34.3,353.6,677.4,186.8,0.1527420913,0.4550170494,0.6077591407,2.9789892602,0.011218393,0.0215028439,0.0075994249,0.0690044435,0.0126789689,0.0688430802,0.3140177444,0.0314967868,0.0518244559,0.4025480123,0.6438242084,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
