Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Information,,,,,,,,Chromatogram Peak Areas,,,,,,,,Chlorophylls,,,,Carotenoids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sample
ID",Treatment,Tree Species,Month,Extraction Date,"Leaf Weight
(g)","Extraction
Volume
(ml)","HPLC 
Injection Volume
(µl)","Violaxanthin
HPLC Peak Area
(mAU*sec)","Neoxanthin
HPLC Peak Area
(mAU*sec)","Antheraxanthin
HPLC Peak Area
(mAU*sec)","Lutein
HPLC Peak Area
(mAU*sec)","Zeaxanthin
HPLC Peak Area
(mAU*sec)","Chlorophyll B
HPLC Peak Area
(mAU*sec)","Chlorophyll A
HPLC Peak Area
(mAU*sec)","Beta Carotene
HPLC Peak Area
(mAU*sec)","Chlorophyll B
Concentration
(µmol/g)","Chlorophyll A
Concentration
(µmol/g)","Chlorophyll Pool
(µmol/g)","Chlorophyll 
a/b 
Ratio","Violaxanthin
Concentration
(µmol/g)","Neoxanthin
Concentration
(µmol/g)","Antheraxanthin
Concentration
(µmol/g)","Lutein
Concentration
(µmol/g)","Zeaxanthin
Concentration
(µmol/g)","Beta Carotene
Concentration
(µmol/g)","Total Carotenoids/ChlA+ChlB
(mol/mol)","V+A+Z
(µmol/g)","V+A+Z /ChlA+ChlB
(mol/mol)",Z/V+A+Z,Z+A/V+A+Z,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170711 P10B1EXD,D,Pine,July,180117,0.0248,0.69,40,37.8,89.2,19.9,646.7,46.6,510.6,895.8,211.8,0.240308846,0.655595565,0.89590441,2.728137462,0.00891939,0.032755373,0.005529171,0.111184158,0.018768009,0.0850456,0.29266705,0.03321657,0.03707602,0.565019478,0.73147769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170711 P10B1R2D,D,Pine,July,180117,0.0285,0.66,40,95.4,143.2,22.4,752.4,0,567.4,1140.9,263.3,0.204487974,0.639384379,0.843872353,3.12675786,0.017237776,0.040267086,0.004765895,0.09905544,0,0.080959207,0.287111437,0.022003671,0.026074643,0,0.216595442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170711 P10B1R2D,D,Pine,July,180117,0.0269,0.68,40,45.6,92.4,10.9,610.6,0,485.5,924,223,0.193805193,0.573566989,0.767372182,2.959502686,0.009126314,0.028779079,0.002568743,0.08903978,0,0.075948287,0.267747788,0.011695058,0.015240398,0,0.219643471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170711 P2B1EX2D,D,Pine,July,180117,0.0257,0.70,40,44.9,73,15.5,501.5,6.2,379.7,768.6,200.9,0.170144752,0.535567658,0.70571241,3.147717761,0.010087388,0.025522874,0.004100413,0.082091842,0.002377459,0.076805946,0.284798622,0.01656526,0.023473103,0.143520764,0.391051647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170711 P2B1EXD,D,Pine,July,180117,0.0271,0.71,40,72.8,121,17.8,672.4,0,526,1061.38,274.5,0.226546356,0.710850443,0.937396799,3.137770367,0.015720166,0.040661693,0.004525946,0.105791347,0,0.100867355,0.285435694,0.020246112,0.02159823,0,0.22354641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170711 P9B1EX1D,D,Pine,July,180116,0.0243,0.75,40,83.2,88.3,29.5,548.2,11.4752,474.7,994.5,276.7,0.228009838,0.742805556,0.970815394,3.257778534,0.020036049,0.03309206,0.008365162,0.096188796,0.004716697,0.113391489,0.284081047,0.033117908,0.034113497,0.142421338,0.395008608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170711 P9B1EX1D,D,Pine,July,180117,0.0277,0.69,40,75.6,118.7,31.1,668.8,16.1,662.5,1277,306.4,0.282877933,0.847891119,1.130769052,2.997374555,0.016184131,0.039545098,0.007839558,0.104318313,0.005882777,0.111619197,0.252384936,0.029906466,0.0264479,0.196705862,0.458841738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170711 P9B2EX2D,D,Pine,July,180117,0.0250,0.74,40,83.4,91,26.9,588,0,539,1093.5,294.7,0.24829035,0.78329592,1.03158627,3.154757807,0.019261564,0.032707038,0.007315455,0.098946288,0,0.115821226,0.265660351,0.026577019,0.025763254,0,0.275254915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710 P10B1R1,L,Pine,July,180116,0.0241,0.76,40,59.3,76.3,29.5,537.6,13.4,503.9,996.5,261.8,0.247297811,0.76048249,1.007780301,3.075168704,0.014590999,0.029216568,0.008547044,0.096379857,0.005627611,0.109618159,0.261942247,0.028765653,0.028543576,0.195636468,0.492763168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710 P2B1R1,L,Pine,July,180116,0.0243,0.75,40,47.2,78.6,21.1,483.5,47.2,399.8,896,259.4,0.192033565,0.669234568,0.861268133,3.484987474,0.011366605,0.029456806,0.005983218,0.084836343,0.019400802,0.10630196,0.298798624,0.036750625,0.042670364,0.527904014,0.690709888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710 P2B1R2,L,Pine,July,180116,0.0253,0.77,40,23.2,52.5,26.2,432.4,98,230.2,478.1,179,0.109032228,0.352131043,0.461163272,3.229605128,0.005509243,0.019401603,0.007326033,0.0748146,0.039720891,0.072333511,0.475115637,0.052556167,0.113964339,0.755779831,0.895174177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710 P2B1R3,L,Pine,July,180116,0.0245,0.76,40,39.9,64.9,27.3,478.5,30.2,287.2,565.3,174.2,0.138647265,0.424367249,0.563014514,3.060768981,0.009657266,0.024445578,0.0077805,0.084383963,0.012476051,0.071748358,0.373865525,0.029913817,0.05313152,0.417066514,0.677163711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710 P9B2R1,L,Pine,July,180116,0.0271,0.76,40,76.8,77.8,43.9,537.3,38.6,400.1,947,281.7,0.17461929,0.642701993,0.817321282,3.680589893,0.01680503,0.026493053,0.011311135,0.085662671,0.014416317,0.10489323,0.31760024,0.042532482,0.052038877,0.338948401,0.604889495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710 P9B2R2,L,Pine,July,180116,0.0216,0.75,40,75.9,83.2,26.9,550.5,18.963,435.9,879.5,223,0.235544922,0.739024306,0.974569227,3.137508971,0.020562839,0.035078333,0.00858138,0.108666406,0.008768741,0.10280842,0.291889085,0.03791296,0.038902275,0.231286119,0.45763036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710 P9B2R3,L,Pine,July,180116,0.0253,0.74,40,65.1,63.7,37,466.7,20.7,359.4,788.6,229.2,0.163594476,0.558191652,0.721786128,3.412044617,0.014856824,0.022623445,0.009942836,0.077603171,0.008063141,0.089010681,0.307709013,0.0328628,0.045529831,0.245357694,0.547913649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170711 P10B1R2,L,Pine,July,180117,0.0229,0.73,40,61.8,101.6,12,519.8,9.8,463.4,860.5,169.9,0.229891425,0.663825022,0.893716447,2.887558867,0.015371266,0.039326853,0.00351452,0.094200698,0.00416041,0.071911288,0.25565719,0.023046196,0.025786921,0.180524818,0.333023725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170711 P10B1R3,L,Pine,July,180117,0.0276,0.73,40,63.1,81,24.8,614,13.5,424.7,896,269.4,0.167629552,0.549936232,0.717565784,3.280663979,0.012486827,0.024944918,0.005778804,0.088529457,0.004559796,0.090719962,0.316374846,0.022825428,0.031809526,0.199768271,0.452942252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170711 S3B1EX1D,D,Spruce,July,180117,0.0271,0.72,40,71.6,103.03,16.2,618.3,22.09,483.276,877,191.7,0.199819468,0.56386893,0.763688398,2.82189186,0.014842601,0.03323801,0.003954354,0.093388397,0.007815947,0.06762412,0.289206214,0.026612902,0.034847855,0.293690154,0.442278015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170711 S3B1R1D,D,Spruce,July,180117,0.0264,0.76,40,49.7,64.8,23.4,525.7,10.3,305.8,653.2,165.9,0.137001875,0.455062667,0.592064542,3.321579845,0.011163486,0.022651282,0.006189034,0.086035584,0.003948841,0.063412133,0.326654184,0.021301361,0.035978106,0.185379732,0.475926154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170711 S3B2EX1D,D,Spruce,July,180117,0.0259,0.72,40,56.6,85.3,22.2,586,11.1,440.2,827.8,186.4,0.190441737,0.556895259,0.747336996,2.924229038,0.012276737,0.028793196,0.00567,0.092610625,0.0041094,0.068801032,0.284023126,0.022056137,0.029512973,0.186315494,0.443386806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170711 S3B2R1D,D,Spruce,July,180117,0.0261,0.70,40,31.9,66.4,16.9,543.3,15.1,423.3,779.1,179.6,0.176679095,0.505668736,0.68234783,2.862074521,0.006675472,0.021623885,0.004164296,0.082837638,0.005393332,0.063955835,0.270610458,0.016233101,0.023790067,0.332242898,0.588774049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170711 S3B3EX1D,D,Spruce,July,180117,0.0255,0.68,40,48.5,86.1,17.5,483.4,19.5,456.4,852.2,184.7,0.189406,0.549953067,0.739359067,2.903567293,0.010091233,0.02787918,0.0042875,0.07328344,0.0069251,0.065396113,0.254088406,0.021303833,0.02881392,0.325063564,0.526318425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170711 S3B3R1D,D,Spruce,July,180117,0.0285,0.75,40,41,83.6,13.7,572.7,15.3,459.5,898.8,206.7,0.180656053,0.549497937,0.730153989,3.041680192,0.008081747,0.02564496,0.003179842,0.082251777,0.005147564,0.069333707,0.26520378,0.016409154,0.022473552,0.313700774,0.507485424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170711 S9B1R1D,D,Spruce,July,180117,0.0268,0.72,40,47.1,99,22.1,566.2,19.6,453.7,908.6,190.5,0.194959799,0.607134657,0.802094456,3.114153064,0.010147326,0.033192521,0.005606432,0.088878611,0.007207351,0.069840641,0.267889748,0.022961109,0.028626441,0.313893871,0.558064648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170711 S9B2EX1D,D,Spruce,July,180117,0.0262,0.70,40,44.9,87,18.6,569,23,468.5,468.5,930.7,0.192015708,0.298588282,0.490603991,1.55502008,0.009226307,0.027821156,0.004500472,0.085190376,0.008066745,0.325442167,0.938123685,0.021793525,0.044421826,0.370144126,0.576649148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170711 S9B2R1D,D,Spruce,July,180117,0.0231,0.75,40,62.4,77.6,12.8,479.1,0,397.6,807,217.9,0.200897727,0.634071429,0.834969156,3.156190153,0.015807662,0.030592792,0.003818182,0.088431282,0,0.093934002,0.278553907,0.019625844,0.023504873,0,0.194548667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170711 S9B3R1D,D,Spruce,July,180116,0.0254,0.74,40,57.9,82.2,16.4,555,22.5,442,845.5,187.9,0.200400886,0.596110787,0.796511673,2.974591579,0.01316165,0.029078897,0.004389744,0.091922421,0.008729779,0.072684381,0.276162772,0.026281173,0.032995339,0.33216853,0.499198522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170709 S3B1R2,L,Spruce,July,180116,0.0255,0.78,40,64.5,94.2,14.8,582.5,12.6,539.6,966,194.2,0.256865471,0.715067294,0.971932765,2.783820233,0.015393874,0.034987542,0.004159235,0.101293324,0.005132721,0.078871474,0.246764158,0.02468583,0.025398701,0.207921758,0.376408509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170711 S3B1R1,L,Spruce,July,180117,0.0247,0.69,40,33.3,75.9,23.6,519.7,58.4,372.3,687.4,161.3,0.166545843,0.478174364,0.644720207,2.871127594,0.007468604,0.026491789,0.006232621,0.084926765,0.022356147,0.061561908,0.324230311,0.036057372,0.055927162,0.62001598,0.792868886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170711 S3B2R1,L,Spruce,July,180117,0.0256,0.69,40,42.6,75.8,15.1,541.4,23,449.7,834,192.3,0.185896494,0.536105625,0.722002119,2.883893144,0.008829016,0.024448165,0.003685049,0.08175563,0.00813616,0.067821055,0.269632276,0.020650225,0.028601336,0.393998613,0.572449393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170711 S3B3R1,L,Spruce,July,180116,0.0285,0.77,40,46,65.1,21.4,442,21.3,345.6,704.1,172.4,0.145311158,0.460357874,0.605669032,3.168083445,0.009697002,0.02135674,0.005311987,0.067888874,0.007663871,0.061844266,0.286893881,0.022672859,0.037434404,0.338019597,0.572307948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170711 S9B1R1,L,Spruce,July,180117,0.0216,0.72,40,19.3,58.4,30.5,545,55.3,352.7,727.8,171.7,0.182963125,0.587092,0.770055125,3.208799587,0.005019608,0.0236374,0.009340625,0.1032775,0.024548592,0.075991558,0.314023341,0.038908825,0.050527324,0.63092606,0.870990493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170711 S9B2R1,L,Spruce,July,180117,0.0262,0.71,40,64,86.3,37.6,553.5,50,411.5,939.4,273.6,0.173542665,0.616059954,0.789602619,3.549904893,0.013532275,0.028397229,0.009361431,0.085271745,0.018044704,0.098444047,0.320479474,0.04093841,0.051846852,0.440776866,0.669447966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170711 S9B3R1,L,Spruce,July,180117,0.0245,0.68,40,39.6,80.5,9.9,539.2,15.8,470,909.6,183.5,0.223909439,0.673846531,0.897755969,3.009460138,0.009458541,0.029922589,0.002784375,0.093837306,0.006441321,0.074584324,0.24174549,0.018684237,0.020812156,0.344746288,0.493768962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170808 P2B1R4D,D,Pine,August,171026,0.0265,0.73,40,106.465,53.285,48.373,443.93,18.066,282.422,653.931,171.681,0.121075111,0.435937549,0.55701266,3.600554617,0.022883246,0.01782338,0.012242704,0.069521951,0.006627683,0.062793621,0.344503094,0.041753632,0.074959934,0.158733076,0.451945992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170808 P2B1R5D,D,Pine,August,171026,0.0231,0.76,40,132.238,69.689,32.326,498.164,0,384.765,824.779,209.941,0.197004677,0.656681185,0.853685862,3.333327893,0.033946239,0.027840303,0.009771268,0.093176077,0,0.091709681,0.300395707,0.043717507,0.051210298,0,0.223509273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170808 P9B2R4D,D,Pine,August,171103,0.0253,0.70,40,103.5,109.5,14.8,546.5,0,437.5,847.5,165.1,0.188380064,0.567456522,0.755836586,3.012296041,0.022343523,0.036787456,0.003762154,0.085960346,0,0.06065141,0.277182783,0.026105677,0.034538784,0,0.144112492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170808 P9B2R5D,D,Pine,August,171103,0.0238,0.72,40,38.9,103.1,35.3,500.3,96.6,391.6,775.2,151.9,0.184364622,0.567524571,0.751889193,3.078272641,0.009182034,0.037872355,0.009811324,0.086043192,0.038918435,0.061014018,0.322974928,0.057911793,0.077021713,0.672029531,0.841447934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170809 P10B1R4D,D,Pine,August,171026,0.0249,0.73,40,133.544,71.282,28.196,486.832,0,380.77,738.983,178.261,0.173726313,0.524292116,0.698018428,3.017920015,0.030547922,0.025375318,0.007594661,0.081139644,0,0.069389884,0.306650112,0.038142582,0.054644091,0,0.199112385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170809 P10B1R5D,D,Pine,August,171026,0.0241,0.77,40,99.612,67.441,35.762,507.278,11.339,482.817,857.243,189.685,0.240068733,0.662816019,0.902884752,2.760942715,0.024832424,0.0261641,0.010497668,0.092140418,0.004824709,0.080467958,0.264626551,0.040154801,0.044473895,0.120152735,0.381582691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
